City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,busselton,-33.65,115.3333,20.98,66,99,5.59,AU,1675727015
85,butaritari,3.0707,172.7902,27.28,80,80,9.3,KI,1675727076
86,cabo san lucas,-8.2833,-35.0333,26.96,71,97,3.27,BR,1675727049
87,camopi,3.1655,-52.3158,22.3,99,95,1.03,GF,1675727219
88,cap malheureux,49.2718,-1.2104,4.79,88,5,2.55,FR,1675727220
89,cape town,-36.413,-71.9028,30.68,25,0,4.27,CL,1675727051
90,caramay,10.1815,119.236,25.94,85,81,2.58,PH,1675727077
91,caravelas,-17.7125,-39.2481,25.51,83,0,3.97,BR,1675727197
92,carnarvon,-24.8667,113.6333,25.3,61,0,9.08,AU,1675727084
93,carutapera,-1.195,-46.02,24.55,94,99,2.51,BR,1675727053
94,castries,13.9957,-61.0061,25.04,79,75,3.6,LC,1675727119
95,castro,-24.7911,-50.0119,18.61,72,58,1.04,BR,1675727080
96,catarman,12.4989,124.6377,25.08,87,38,2.39,PH,1675726948
97,caucaia,-3.7361,-38.6531,27.97,76,40,3.09,BR,1675727299
98,cayenne,4.9333,-52.3333,24.02,94,75,1.03,GF,1675727065
99,chake chake,23.86,103.046,7.95,77,0,1.19,CN,1675727280
100,chapais,49.7834,-74.8492,-17.12,96,28,1.81,CA,1675727261
101,chara,56.9064,118.2631,-27.37,85,99,0.33,RU,1675727143
102,charagua,-19.8,-63.2167,22.06,72,47,2.73,BO,1675727079
103,chernyshevskiy,63.0128,112.4714,-36.59,99,97,0.71,RU,1675727107
104,cherskiy,68.75,161.3,-38.04,100,100,2.29,RU,1675727155
105,chichi,7.2721,8.9332,28.25,23,84,3.09,NG,1675727292
106,chifeng,42.2683,118.9636,-6.13,42,99,1.11,CN,1675727271
107,chokurdakh,70.6333,147.9167,-34.16,100,99,0.86,RU,1675727140
108,churhat,24.428,81.6703,15.33,39,0,1.62,IN,1675727286
109,chuy,-33.6971,-53.4616,20.94,79,81,2.92,UY,1675727135
110,cidreira,-30.1811,-50.2056,23.81,75,6,4.09,BR,1675727044
111,clyde river,41.3042,-82.9752,0.42,80,74,2.91,US,1675727027
112,coahuayana,18.7333,-103.6833,27.14,63,1,2.38,MX,1675727047
113,cockburn town,-32.0833,141.0,27.18,25,1,6.79,AU,1675727202
114,codrington,-38.2667,141.9667,17.71,67,69,5.22,AU,1675727103
115,coihaique,-45.5752,-72.0662,16.97,45,20,4.63,CL,1675727285
116,comodoro rivadavia,-13.6631,-59.7858,19.44,98,100,1.03,BR,1675727092
117,constitucion,-35.3333,-72.4167,15.54,81,22,5.11,CL,1675727199
118,coquimbo,-29.9533,-71.3436,18.85,82,75,3.6,CL,1675727205
119,corrales,35.2378,-106.6067,9.4,37,40,10.29,US,1675727050
120,correntina,-13.3433,-44.6367,22.63,73,28,0.4,BR,1675727226
121,cuajinicuilapa,16.4667,-98.4167,28.09,55,1,3.18,MX,1675727254
122,danane,7.2596,-8.155,22.98,85,83,1.38,CI,1675727239
123,davila,18.4726,120.5763,22.99,77,89,2.3,PH,1675727134
124,dawei,14.0833,98.2,21.56,88,35,1.42,MM,1675727252
125,dawlatabad,36.4141,64.9053,6.57,66,11,2.76,AF,1675727079
126,delmas,18.5447,-72.3028,27.4,65,40,3.09,HT,1675727218
127,deputatskiy,69.3,139.9,-35.0,97,100,1.82,RU,1675727067
128,dera bugti,8.3309,39.3181,15.16,26,48,2.54,ET,1675727251
129,dickinson,29.4608,-95.0513,21.05,75,75,9.77,US,1675727202
130,dikson,73.5069,80.5464,-31.4,100,100,2.23,RU,1675727064
131,dingle,10.9995,122.6711,25.75,85,100,4.11,PH,1675727170
132,drumheller,51.4617,-112.7101,5.63,52,38,1.54,CA,1675727265
133,dubrovnik,42.6481,18.0922,1.8,32,0,11.83,HR,1675727095
134,dudinka,69.4058,86.1778,-21.88,99,100,2.22,RU,1675727219
135,dvinskoy,62.1535,45.1175,-21.25,100,97,1.31,RU,1675727260
136,east london,65.0,-15.0,-0.14,70,59,5.78,IS,1675727047
137,ebebiyin,2.1511,11.3353,20.43,98,53,1.13,GQ,1675727081
138,erenhot,43.6475,111.9767,-9.59,94,83,2.37,CN,1675727079
139,esil,51.9556,66.4042,-16.17,97,89,2.41,KZ,1675727198
140,esperance,-33.8667,121.9,21.1,82,7,8.18,AU,1675727087
141,estelle,29.8458,-90.1067,20.0,64,40,4.12,US,1675727043
142,ewa beach,-8.6235,122.5073,24.69,82,79,3.05,ID,1675727099
143,faanui,-16.4833,-151.75,27.43,75,10,6.56,PF,1675727176
144,fairbanks,64.8378,-147.7164,-11.62,87,75,0.0,US,1675726898
145,falmouth,50.1544,-5.0711,4.5,93,19,1.54,GB,1675727031
146,faya,18.3851,42.4509,12.29,54,87,1.75,SA,1675727234
147,fayaoue,-20.65,166.5333,27.65,77,93,3.38,NC,1675727305
148,felipe carrillo puerto,-6.5556,-39.7423,22.43,83,75,1.84,BR,1675727241
149,fethiye,36.6217,29.1164,6.93,64,62,5.41,TR,1675727300
150,fontenay-le-comte,46.5833,-1.0,2.25,81,3,4.48,FR,1675727194
151,fort nelson,52.6517,6.3861,2.75,17,9,2.96,NL,1675727259
152,fortuna,40.5982,-124.1573,12.03,69,0,5.14,US,1675727052
153,fredericksburg,38.3032,-77.4605,8.97,58,40,3.09,US,1675727070
154,fundacion,10.5207,-74.185,27.66,64,26,1.65,CO,1675727262
155,gamba,-2.65,10.0,25.72,83,95,0.81,GA,1675727118
156,garden city,53.688,12.0492,-1.81,91,7,2.14,DE,1675727247
157,gat,31.61,34.7642,10.05,100,92,10.75,IL,1675727104
158,georgetown,5.4112,100.3354,25.96,91,20,2.06,MY,1675726487
159,geraldton,-28.7667,114.6,21.23,73,100,5.66,AU,1675727086
160,glen allen,46.4186,-93.5152,0.84,86,100,4.12,US,1675727223
161,goderich,43.7501,-81.7165,-1.82,74,36,3.09,CA,1675727045
162,gorontalo,0.5412,123.0595,26.07,80,100,1.4,ID,1675727254
163,goure,13.9835,10.2704,20.24,13,100,4.31,NE,1675727267
164,grafton,42.207,-71.6856,4.95,68,0,5.66,US,1675726797
165,grand gaube,38.8755,-109.5012,4.55,51,60,1.54,US,1675727122
166,grand river south east,38.8755,-109.5012,4.55,51,60,1.54,US,1675727143
167,green river,40.9459,-81.4832,0.11,81,100,1.54,US,1675726904
168,griffith,41.5284,-87.4237,4.94,67,0,7.2,US,1675727128
169,guarapari,-20.6667,-40.4975,26.05,91,71,2.5,BR,1675727051
170,guerrero negro,17.6667,-100.0,24.43,41,7,0.51,MX,1675727293
171,gwembe,-16.4975,27.6069,17.0,91,75,1.47,ZM,1675727128
172,haines junction,59.2286,-135.4441,3.82,81,20,5.14,US,1675727068
173,halacho,20.4833,-90.0833,25.87,59,66,3.05,MX,1675727214
174,half moon bay,6.3807,-10.6953,23.94,91,46,2.2,LR,1675727146
175,hambantota,6.1241,81.1185,24.23,87,96,4.59,LK,1675727134
176,hamilton,39.1834,-84.5333,7.69,59,0,4.12,US,1675726512
177,harper,4.375,-7.7169,26.47,80,100,4.42,LR,1675727182
178,hasaki,35.7333,140.8333,7.38,54,100,1.53,JP,1675727073
179,havoysund,70.9963,24.6622,5.13,93,100,16.42,NO,1675727273
180,havre-saint-pierre,50.2334,-63.5986,-10.0,77,0,5.14,CA,1675727237
181,herat,34.5,62.0,6.49,38,95,3.34,AF,1675726837
182,hermanus,-34.4187,19.2345,22.11,93,27,2.22,ZA,1675727048
183,hervey bay,33.4982,-93.7771,21.25,80,98,3.7,US,1675727229
184,hilo,19.7297,-155.09,25.06,83,100,4.12,US,1675727045
185,hirara,24.8,125.2833,20.15,94,75,5.14,JP,1675727274
